zip_code,year,median_household_income
37212,2012,50873
37216,2012,45625
37218,2012,44989
37204,2012,63019
37243,2012,-666666666
37246,2012,-666666666
37138,2012,54813
37207,2012,32384
37208,2012,21415
37135,2012,97300
37201,2012,51832
37213,2012,30568
37067,2012,89806
37013,2012,48603
37076,2012,51668
37203,2012,24881
37205,2012,84759
37214,2012,48585
37026,2012,36533
37115,2012,36086
37072,2012,52539
37206,2012,34915
37210,2012,26385
37215,2012,97127
37220,2012,99767
37221,2012,68237
37209,2012,42121
37217,2012,40755
37219,2012,45167
37027,2012,116054
37189,2012,48065
37228,2012,25362
19112,2012,-666666666
19124,2012,28996
19103,2012,61761
19104,2012,19465
19114,2012,51798
19119,2012,59044
19125,2012,37369
19127,2012,61300
19107,2012,43649
19126,2012,41255
19132,2012,22456
19134,2012,23681
19140,2012,21759
19147,2012,56221
19137,2012,42976
19136,2012,44556
19106,2012,89588
19141,2012,31363
19145,2012,35040
19116,2012,50849
19115,2012,46120
19120,2012,33417
19150,2012,46875
19087,2012,107412
19111,2012,45209
19123,2012,46660
19142,2012,30762
19143,2012,30450
19148,2012,37230
19149,2012,37196
19151,2012,38117
19152,2012,48682
19138,2012,36644
19139,2012,25374
19146,2012,37025
19118,2012,81542
19121,2012,15935
19128,2012,63353
19131,2012,29899
19135,2012,36942
19102,2012,71404
19113,2012,102750
19122,2012,21929
19129,2012,50180
19133,2012,14297
19144,2012,30093
19130,2012,60211
19454,2012,84741
19153,2012,48240
19154,2012,59852
85641,2013,81917
85710,2013,42204
85704,2013,52918
85705,2013,23769
85718,2013,73900
85719,2013,27009
85742,2013,66887
85743,2013,69577
85745,2013,49380
85747,2013,81474
85749,2013,84151
85712,2013,31290
85739,2013,58376
85735,2013,52712
85707,2013,45958
85724,2013,-666666666
85755,2013,75648
85756,2013,46672
85757,2013,51220
85715,2013,53943
85737,2013,82754
85741,2013,51871
85748,2013,69871
85711,2013,32557
85713,2013,33459
85730,2013,46733
85716,2013,33058
85701,2013,34017
85706,2013,29814
