variable,hazard_ratio,p,sig,HR_str
pricing,0.9803056390386612,0.707980290660079,,0.9803
category_popularity,0.9721507164745555,0.1506216756586138,,0.9722
groupon,1.215370014269896,0.2460543935356817,,1.2154
near_mall,0.9970447839931312,0.9043417195490854,,0.9970
near_university,1.011684828931159,0.7182133841384918,,1.0117
attributes_count,0.9757019946880854,0.010179276095851926,**,0.9757**
sum_rev_count,0.9980040735028368,0.8361726121931045,,0.9980
three_rev_avg_stars,0.9806850113239811,0.04148672475575205,**,0.9807**
num_neighbors,1.0176393018304832,0.06936614159709147,*,1.0176*
failed_neighbors,1.0271552757124225,0.005312448872265354,***,1.0272***
same_p_n_rat,0.9927059908738247,0.444662689488453,,0.9927
same_cat_n_rat,0.9884757737528395,0.22714447360819542,,0.9885
fran_neigh_rat,0.9997462787485216,0.9788823460043525,,0.9997
median_household_income,1.0177108886227353,0.06668431796485273,*,1.0177*
amenity_access,1.007094244401796,0.46245759779146833,,1.0071
poi_diversity,1.0063461030245633,0.5109256516269078,,1.0063
poi_advantage,0.9988580293413981,0.9046154659014201,,0.9989
local_churn_1yr,1.0131720987042525,0.1731238668396956,,1.0132
mall_competition_interaction,1.0051076332339188,0.5953244824026402,,1.0051
university_competition_interaction,1.0074815814468425,0.4367154479511448,,1.0075
